,Navigasi,Link
154,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/3762447/liga-spanyol-madrid-bantai-osasuna-4-0
155,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2496345/hoaks-barcelona-tunjuk-luhut-sebagai-pengganti-ronald-koeman
156,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2557533/cegah-212-polisi-tutup-jalan-patung-kuda-monas-mulai-rabu-malam
157,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3365319/hoaks-rahim-buatan-untuk-memilih-karakteristik-bayi
158,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2268466/lionel-messi-akan-teken-kontrak-baru-berdurasi-lima-tahun-di-barcelona
159,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2061062/bayern-muenchen-siap-bajak-lucas-vazquez-dari-real-madrid
160,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3654384/eks-gelandang-real-madrid-isco-alarcon-resmi-gabung-real-betis
161,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3782388/hoaks-jokowi-lantik-anies-jadi-ketua-kpk-pada-18-oktober
162,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3802032/misinformasi-debat-capres-pemilu-2024-ditiadakan
163,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2524197/real-madrid-harus-bersaing-dengan-psg-untuk-dapatkan-franck-kessie
164,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2680833/vallecano-ke-semifinal-piala-raja-setelah-singkirkan-mallorca-1-0
165,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2623185/hoaks-daftar-penerima-blt-umkm-rp12-juta-pada-januari
166,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2571973/hoaks-video-angin-puting-beliung-di-merak-banten
167,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2390157/hoaks-masjid-istiqlal-dipasangi-lampu-warna-warni-seperti-diskotek
168,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3100597/vinicius-jr-kini-warga-negara-spanyol
169,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3745890/hoaks-ratusan-ikan-di-tuban-mati-karena-terkontaminasi-limbah-nuklir
170,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1828488/tiga-penalti-dan-gol-bunuh-diri-buat-real-madrid-takluk-di-valencia
171,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3833202/pemerintah-waspadai-perlambatan-ekonomi-china
172,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3571392/laliga-luncurkan-logo-anyar-wakili-evolusi-selama-10-tahun-terakhir
173,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2020992/kalahkan-cadiz-1-0-real-betis-naik-ke-posisi-enam-la-liga
174,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2951097/resmi-diperkenalkan-rudiger-akui-jagokan-real-madrid-lawan-liverpool
175,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3479805/mourinho-balas-kritikan-mantan-pemain-real-madrid-antonio-cassano
176,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2226794/adama-traore-tidak-tutup-kemungkinan-untuk-kembali-ke-barcelona
177,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2597717/mino-raiola-bantah-rumor-kepindahan-erling-haaland-ke-real-madrid
178,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3434838/hoaks-video-orang-tua-ag-bersujud-agar-dibebaskan
179,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2715613/kalahkan-mallorca-2-1-real-betis-kian-kuat-cengkeram-posisi-tiga
180,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3797034/hoaks-kanker-kulit-muncul-akibat-penggunaan-kacamata-hitam
181,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2449321/xavi-hernandez-buka-pintu-gantikan-ronald-koeman
182,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2487185/hoaks-pakar-keuangan-as-sebut-pinjol-marak-di-negara-yang-suka-utang
183,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2605633/hoaks-uang-kertas-pecahan-rp200-ribu
184,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3103513/hoaks-tulisan-bharada-e-yang-khawatirkan-keselamatan-di-tahanan
185,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2687581/atasi-perlawanan-atletico-madrid-4-2-barcelona-naik-ke-empat-besar
186,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3676173/lima-pemain-rekrutan-klub-laliga-yang-bisa-jadi-kejutan-di-musim-2023
187,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1916016/real-madrid-perpanjang-kontrak-luka-modric-hingga-2022
188,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3077561/pierre-emerick-aubameyang-dikabarkan-sepakat-gabung-chelsea
189,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3154121/hoaks-bentrokan-suporter-arema-dan-persebaya-penyebab-tragedi-kanjuruhan
190,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2563117/joan-laporta-pastikan-barcelona-tertarik-pada-ferran-torres
191,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2487737/simeone-akui-tak-pernah-janjikan-waktu-bermain-kepada-setiap-pemain
192,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3392949/hoaks-pemerintah-salurkan-bansos-melalui-laman-danabansosidcom
193,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2478981/pesta-delapan-gol-sevilla-menang-5-3-atas-levante
